KNr	A	B	C	Gene	Function
K21577	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	grdC	glycine/sarcosine/betaine reductase complex component C subunit beta [EC:1.21.4.2 1.21.4.3 1.21.4.4]
K21578	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	grdI	betaine reductase complex component B subunit alpha [EC:1.21.4.4]
K21579	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	grdH	betaine reductase complex component B subunit beta [EC:1.21.4.4]
K21580	metabolism	biosynthesis of other secondary metabolites	isoquinoline alkaloid biosynthesis [path:ko00950]	RNMT	reticuline N-methyltransferase [EC:2.1.1.337]
K21581	metabolism	biosynthesis of other secondary metabolites	flavonoid biosynthesis [path:ko00941]	OMT1	desmethylxanthohumol 6'-O-methyltransferase [EC:2.1.1.338]
K21582	metabolism	biosynthesis of other secondary metabolites	flavonoid biosynthesis [path:ko00941]	OMT2	xanthohumol 4'-O-methyltransferase [EC:2.1.1.339]
K21583	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	grdG	sarcosine reductase complex component B subunit alpha [EC:1.21.4.3]
K21584	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	grdF	sarcosine reductase complex component B subunit beta [EC:1.21.4.3]
K21585	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	kat	3-aminobutanoyl-CoA transaminase [EC:2.6.1.111]
K21586	multiple functions	multiple functions	multiple functions	wbgM	O55-antigen biosynthesis alpha-1,3-galactosyltransferase
K21587	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	ClPT1	coumarin 8-geranyltransferase [EC:2.5.1.138]
K21588	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	PT	umbelliferone 6-dimethylallyltransferase [EC:2.5.1.139]
K21589	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	cadD	cAMP deaminase [EC:3.5.4.46]
K21590	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	PT1L	2-acylphloroglucinol 4-prenyltransferase [EC:2.5.1.136]
K21591	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	tarF	teichoic acid glycerol-phosphate transferase [EC:2.7.8.45]
K21592	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	tarK	teichoic acid ribitol-phosphate primase [EC:2.7.8.46]
K21593	metabolism	xenobiotics biodegradation and metabolism	atrazine degradation [path:ko00791]	triA	melamine deaminase [EC:3.5.4.45]
K21594	brite hierarchies	protein families: genetic information processing	mitochondrial biogenesis [br:ko03029]	GUF1	translation factor GUF1, mitochondrial [EC:3.6.5.-]
K21595	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	CARF	calcium-responsive transcription factor
K21596	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	CAMTA	calmodulin-binding transcription activator
K21597	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	CAS5	cell wall integrity transcriptional regulator CAS5
K21598	multiple functions	multiple functions	multiple functions	GCM	chorion-specific transcription factor GCM
K21599	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	CIART, CHRONO, GM129	circadian-associated transcriptional repressor
K21600	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	csoR, ricR	CsoR family transcriptional regulator, copper-sensing transcriptional repressor
K21601	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	ycnK	DeoR family transcriptional regulator, copper-sensing transcriptional repressor
K21602	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	yiaJ	IclR family transcriptional regulator, carbohydrate utilization repressor
K21603	brite hierarchies	protein families: signaling and cellular processes	two-component system [br:ko02022]	ftcR	two-component system, OmpR family, flagellar system response regulator FtcR
K21604	brite hierarchies	protein families: metabolism	peptidases and inhibitors [br:ko01002]	IAR3, ILL6	jasmonoyl-L-amino acid hydrolase [EC:3.5.1.127]
K21605	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	PT2	2-acyl-4-prenylphloroglucinol 6-prenyltransferase [EC:2.5.1.137]
K21606	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	endo_I	endo-chitodextinase [EC:3.2.1.202]
K21607	metabolism	xenobiotics biodegradation and metabolism	chlorocyclohexane and chlorobenzene degradation [path:ko00361]	pcpD	tetrachlorobenzoquinone reductase [EC:1.1.1.404]
K21608	not included in pathway or brite	unclassified: signaling and cellular processes	structural proteins	lpqS	lipoprotein LpqS
K21609	not included in pathway or brite	unclassified: signaling and cellular processes	others	mymT	metallothionein
K21610	metabolism	metabolism of cofactors and vitamins	porphyrin and chlorophyll metabolism [path:ko00860]	cfbC	Ni-sirohydrochlorin a,c-diamide reductive cyclase subunit CfbC [EC:6.3.3.7]
K21611	metabolism	metabolism of cofactors and vitamins	porphyrin and chlorophyll metabolism [path:ko00860]	cfbD	Ni-sirohydrochlorin a,c-diamide reductive cyclase subunit CfbD [EC:6.3.3.7]
K21612	metabolism	metabolism of cofactors and vitamins	porphyrin and chlorophyll metabolism [path:ko00860]	cfbE	coenzyme F430 synthetase [EC:6.4.1.9]
K21613	brite hierarchies	protein families: metabolism	peptidases and inhibitors [br:ko01002]	scmP	N-acetylcysteine deacetylase [EC:3.5.1.-]
K21614	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	p4H	L-proline cis-4-hydroxylase [EC:1.14.11.56]
K21615	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	E1.14.11.57	L-proline 4-hydroxylase [EC:1.14.11.57]
K21616	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	znd	D-altritol 5-dehydrogenase [EC:1.1.1.407]
K21617	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	hpbD	4-hydroxyproline betaine 2-epimerase [EC:5.1.1.22]
K21618	metabolism	carbohydrate metabolism	pyruvate metabolism [path:ko00620]	DLD3	(R)-2-hydroxyglutarate---pyruvate transhydrogenase [EC:1.1.99.40]
K21619	metabolism	carbohydrate metabolism	pentose and glucuronate interconversions [path:ko00040]	uxaE	tagaturonate epimerase [EC:5.1.2.7]
K21620	metabolism	carbohydrate metabolism	galactose metabolism [path:ko00052]	sorbD	galactitol 2-dehydrogenase [EC:1.1.1.16]
K21621	metabolism	carbohydrate metabolism	galactose metabolism [path:ko00052]	fk	tagatose kinase [EC:2.7.1.101]
K21622	metabolism	carbohydrate metabolism	galactose metabolism [path:ko00052]	tag6PK	D-tagatose 6-phosphate 4-epimerase [EC:5.1.3.40]
K21623	metabolism	amino acid metabolism	cysteine and methionine metabolism [path:ko00270]	CORI3	L-cystine beta-lyase [EC:4.4.1.35]
K21624	metabolism	amino acid metabolism	arginine and proline metabolism [path:ko00330]	c3lhypd	cis-L-3-hydroxyproline dehydratase [EC:4.2.1.171]
K21625	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	DMTF1, DMP1	cyclin-D-binding Myb-like transcription factor 1
K21626	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	CCNDBP1, DIP1, GCIP	cyclin-D1-binding protein 1
K21627	not included in pathway or brite	unclassified: genetic information processing	transcription	IFH1	protein IFH1
K21628	not included in pathway or brite	unclassified: genetic information processing	transcription	MSA1	G1-specific transcription factors activator MSA1
K21629	not included in pathway or brite	unclassified: genetic information processing	transcription	MSA2	G1-specific transcription factors activator MSA2
K21630	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	ZGLP1	GATA-type zinc finger protein 1
K21631	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	GTI1, PAC2, WOR1	Gti1/Pac2 family transcription factor
K21632	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	WOR2	white-opaque regulator 2
K21633	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	CZF1	zinc cluster transcription factor CZF1
K21634	multiple functions	multiple functions	multiple functions	USP21	ubiquitin carboxyl-terminal hydrolase 21 [EC:3.4.19.12]
K21635	multiple functions	multiple functions	multiple functions	JAG2	jagged-2
K21636	metabolism	nucleotide metabolism	general nucleotide metabolism	nrdD	ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6]
K21637	not included in pathway or brite	unclassified: signaling and cellular processes	signaling proteins	iraD	anti-adapter protein IraD
K21638	not included in pathway or brite	unclassified: signaling and cellular processes	signaling proteins	iraM	anti-adapter protein IraM
K21639	metabolism	amino acid metabolism	arginine and proline metabolism [path:ko00330]	E1.4.3.25	L-arginine oxidase [EC:1.4.3.25]
K21640	not included in pathway or brite	unclassified: genetic information processing	transcription	nrpRII	global nitrogen regulator NrpRII
K21641	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	RGT1	glucose transport transcription regulator RGT1
K21642	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	OPI1	transcriptional repressor OPI1
K21643	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	BBX, HBP2	HMG box transcription factor BBX
K21644	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	HBP1	HMG box transcription factor 1
K21645	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	hypT, qseD	LysR family transcriptional regulator, hypochlorite-specific transcription factor HypT
K21646	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	GCR1	glycolytic genes transcriptional activator GCR1
K21647	metabolism	xenobiotics biodegradation and metabolism	chloroalkane and chloroalkene degradation [path:ko00625]	pceA	tetrachloroethene reductive dehalogenase [EC:1.21.99.5]
K21648	metabolism	xenobiotics biodegradation and metabolism	chloroalkane and chloroalkene degradation [path:ko00625]	pceB	tetrachloroethene reductive dehalogenase membrane anchor
K21649	multiple functions	multiple functions	multiple functions	ORF4	KSHV complement control protein
K21650	multiple functions	multiple functions	multiple functions	KIE1, ORF50	KSHV transcription activator ORF50
K21651	multiple functions	multiple functions	multiple functions	K15	KSHV signal transducing membrane protein
K21652	multiple functions	multiple functions	multiple functions	vIRF3	KSHV interferon regulatory factor-like protein 3
K21653	multiple functions	multiple functions	multiple functions	vIRF1, K9	KSHV interferon regulatory factor-like protein 1
K21654	multiple functions	multiple functions	multiple functions	vIRF2, K11	KSHV interferon regulatory factor-like protein 2
K21655	multiple functions	multiple functions	multiple functions	K8	KSHV E3 SUMO-protein ligase K-bZIP
K21656	multiple functions	multiple functions	multiple functions	K12	KSHV protein K12
K21657	multiple functions	multiple functions	multiple functions	K4	KSHV macrophage inflammatory protein 2
K21658	multiple functions	multiple functions	multiple functions	K4.1	KSHV protein vCCL3
K21659	multiple functions	multiple functions	multiple functions	K6	KSHV protein K6
K21660	multiple functions	multiple functions	multiple functions	vBCL2, ORF16	KSHV apoptosis regulator BCL2 homolog
K21661	multiple functions	multiple functions	multiple functions	vIAP, K7	KSHV inhibitor of apoptosis protein
K21662	multiple functions	multiple functions	multiple functions	vFLIP, K13, ORF71	KSHV FLICE inhibitory protein
K21663	multiple functions	multiple functions	multiple functions	vCyclin, ORF72	KSHV cyclin homolog
K21664	multiple functions	multiple functions	multiple functions	vLANA, ORF73	KSHV latency-associated nuclear antigen
K21665	multiple functions	multiple functions	multiple functions	MIR1, K3	KSHV E3 ubiquitin-protein ligase MIR1 [EC:2.3.2.36]
K21666	multiple functions	multiple functions	multiple functions	MIR2, K5	KSHV E3 ubiquitin-protein ligase MIR2 [EC:2.3.2.36]
K21667	multiple functions	multiple functions	multiple functions	vGPCR	KSHV G-protein coupled receptor
K21668	human diseases	infectious disease: viral	kaposi sarcoma-associated herpesvirus infection [path:ko05167]	CD200R	cell surface glycoprotein CD200 receptor
K21669	multiple functions	multiple functions	multiple functions	K1	KSHV protein K1
K21670	multiple functions	multiple functions	multiple functions	vIL6, K2	KSHV interleukin 6
K21671	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	GCR2	glycolytic genes transcriptional activator GCR2
K21672	metabolism	general metabolism	general metabolism	ord	2,4-diaminopentanoate dehydrogenase [EC:1.4.1.12 1.4.1.26]
K21673	metabolism	biosynthesis of other secondary metabolites	caffeine metabolism [path:ko00232]	cdhA	caffeine dehydrogenase subunit alpha [EC:1.17.5.2]
K21674	metabolism	biosynthesis of other secondary metabolites	caffeine metabolism [path:ko00232]	cdhB	caffeine dehydrogenase subunit beta [EC:1.17.5.2]
K21675	metabolism	biosynthesis of other secondary metabolites	caffeine metabolism [path:ko00232]	cdhC	caffeine dehydrogenase subunit gamma [EC:1.17.5.2]
K21676	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	luh	lupanine 17-hydroxylase (cytochrome c) [EC:1.17.2.2]
K21677	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	hpnE	hydroxysqualene dehydroxylase [EC:1.17.8.1]
K21678	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	hpnD	presqualene diphosphate synthase [EC:2.5.1.103]
K21679	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	hpnC	hydroxysqualene synthase [EC:4.2.3.156]
K21680	metabolism	carbohydrate metabolism	pentose and glucuronate interconversions [path:ko00040]	E1.1.1.137	ribulose-5-phosphate 2-dehydrogenase [EC:1.1.1.137]
K21681	metabolism	carbohydrate metabolism	pentose and glucuronate interconversions [path:ko00040]	bcs1	ribitol-5-phosphate 2-dehydrogenase (NADP+) / D-ribitol-5-phosphate cytidylyltransferase [EC:1.1.1.405 2.7.7.40]
K21682	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	PNO	pyruvate dehydrogenase (NADP+) [EC:1.2.1.51]
K21683	metabolism	xenobiotics biodegradation and metabolism	nitrotoluene degradation [path:ko00633]	dntB	4-methyl-5-nitrocatechol 5-monooxygenase [EC:1.14.13.210]
K21684	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	sdgC	salicyloyl-CoA 5-hydroxylase [EC:1.14.13.209]
K21685	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	ramA	LuxR family transcriptional regulator, regulator of acetate metabolism
K21686	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	prpR	XRE family transcriptional regulator, fatty acid utilization regulator
K21687	not included in pathway or brite	unclassified: metabolism	glycan metabolism	rpfA	resuscitation-promoting factor RpfA
K21688	not included in pathway or brite	unclassified: metabolism	glycan metabolism	rpfB	resuscitation-promoting factor RpfB
K21689	not included in pathway or brite	unclassified: metabolism	glycan metabolism	rpfC	resuscitation-promoting factor RpfC
K21690	not included in pathway or brite	unclassified: metabolism	glycan metabolism	rpfD	resuscitation-promoting factor RpfD
K21691	not included in pathway or brite	unclassified: metabolism	glycan metabolism	rpfE	resuscitation-promoting factor RpfE
K21692	multiple functions	multiple functions	multiple functions	CYP82N4	methyltetrahydroprotoberberine 14-monooxygenase [EC:1.14.14.97]
K21693	multiple functions	multiple functions	multiple functions	CYP82N2_3	protopine 6-monooxygenase [EC:1.14.14.98]
K21694	not included in pathway or brite	unclassified: metabolism	energy metabolism	cowN	N(2)-fixation sustaining protein CowN
K21695	not included in pathway or brite	unclassified: signaling and cellular processes	structural proteins	aaeX	protein AaeX
K21696	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	rcoM	LytTR family transcriptional regulator, CO-responsive transcriptional regulator RcoM
K21697	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	vjbR	LuxR family transcriptional regulator, quorum-sensing system regulator VjbR
K21698	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	aaeR	LysR family transcriptional regulator, transcriptional activator for aaeXAB operon
K21699	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	bauR	LysR family transcriptional regulator, transcriptional activator for bauABCD operon
K21700	not included in pathway or brite	unclassified: metabolism	amino acid metabolism	bauB	beta-alanine degradation protein BauB
K21701	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	btr	AraC family transcriptional regulator, transcriptional activator for feuABC-ybbA operon
K21702	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	gatDH	galactitol 2-dehydrogenase (L-tagatose-forming) [EC:1.1.1.406]
K21703	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	cbbR, cmpR, ndhR	LysR family transcriptional regulator, low CO2-responsive transcriptional regulator
K21704	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	FAH12	phosphatidylcholine 12-monooxygenase [EC:1.14.18.4]
K21705	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	E1.14.19.10	icosanoyl-CoA 5-desaturase [EC:1.14.19.10]
K21706	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	DES	acyl-lipid omega-(9-4) desaturase [EC:1.14.19.12]
K21707	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	DES3	acyl-CoA 15-desaturase [EC:1.14.19.13]
K21708	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	FADX	linoleoyl-lipid Delta9 conjugase [EC:1.14.19.14]
K21709	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	DESAT1	(11Z)-hexadec-11-enoyl-CoA conjugase [EC:1.14.19.15]
K21710	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	FAC	linoleoyl-lipid Delta12 conjugase (11E,13Z-forming) [EC:1.14.19.16]
K21711	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	pycR	LysR family transcriptional regulator, putative pyruvate carboxylase regulator
K21712	human diseases	infectious disease: bacterial	vibrio cholerae infection [path:ko05110]	gbpA	N-acetylglucosamine-binding protein A
K21713	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	lpmo	lytic chitin monoxygenase [EC:1.14.99.53]
K21714	brite hierarchies	protein families: metabolism	cytochrome p450 [br:ko00199]	CYP71AJ1	psoralen synthase [EC:1.14.14.141]
K21715	brite hierarchies	protein families: metabolism	cytochrome p450 [br:ko00199]	CYP71AJ4	angelicin synthase [EC:1.14.14.148]
K21716	brite hierarchies	protein families: metabolism	cytochrome p450 [br:ko00199]	CYP71AV1	amorpha-4,11-diene 12-monooxygenase [EC:1.14.14.114]
K21717	brite hierarchies	protein families: metabolism	cytochrome p450 [br:ko00199]	CYP71BA1	alpha-humulene 10-hydroxylase [EC:1.14.14.113]
K21718	multiple functions	multiple functions	multiple functions	CYP76M6	oryzalexin E synthase [EC:1.14.14.122]
K21719	multiple functions	multiple functions	multiple functions	CYP701A8	ent-sandaracopimaradiene 3-hydroxylase / syn-pimaradiene 3-monooxygenase [EC:1.14.14.70 1.14.14.68]
K21720	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	E1.14.13.147	taxoid 7beta-hydroxylase [EC:1.14.13.147]
K21721	metabolism	biosynthesis of other secondary metabolites	biosynthesis of various secondary metabolites - part 3 [path:ko00997]	sbnB	N-[(2S)-2-amino-2-carboxyethyl]-L-glutamate dehydrogenase [EC:1.5.1.51]
K21722	metabolism	biosynthesis of other secondary metabolites	caffeine metabolism [path:ko00232]	ndmA	methylxanthine N1-demethylase [EC:1.14.13.178]
K21723	metabolism	biosynthesis of other secondary metabolites	caffeine metabolism [path:ko00232]	ndmB	methylxanthine N3-demethylase [EC:1.14.13.179]
K21724	metabolism	biosynthesis of other secondary metabolites	caffeine metabolism [path:ko00232]	ndmC	7-methylxanthine demethylase [EC:1.14.13.128]
K21725	metabolism	xenobiotics biodegradation and metabolism	aminobenzoate degradation [path:ko00627]	pnpA	4-nitrocatechol/4-nitrophenol 4-monooxygenase [EC:1.14.13.166 1.14.13.167]
K21726	metabolism	xenobiotics biodegradation and metabolism	aminobenzoate degradation [path:ko00627]	npcA	4-nitrophenol 2-monooxygenase / 4-nitrocatechol 4-monooxygenase, oxygenase component [EC:1.14.13.29 1.14.13.166]
K21727	metabolism	xenobiotics biodegradation and metabolism	aminobenzoate degradation [path:ko00627]	npcB	4-nitrophenol 2-monooxygenase / 4-nitrocatechol 4-monooxygenase, reductase component
K21728	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	sdpA	(S)-dichlorprop dioxygenase (2-oxoglutarate) [EC:1.14.11.43]
K21729	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	rdpA	(R)-dichlorprop dioxygenase (2-oxoglutarate) [EC:1.14.11.44]
K21730	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	otemo	(2,2,3-trimethyl-5-oxocyclopent-3-enyl)acetyl-CoA 1,5-monooxygenase [EC:1.14.13.160]
K21731	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	camP	2,5-diketocamphane 1,2-monooxygenase [EC:1.14.14.108]
K21732	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	SLD	acyl-lipid (11-3)-desaturase [EC:1.14.19.4]
K21733	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	DESA	sphingolipid 10-desaturase [EC:1.14.19.19]
K21734	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	SLD	sphingolipid 8-(E/Z)-desaturase [EC:1.14.19.29]
K21735	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	DES5	acyl-lipid (8-3)-desaturase [EC:1.14.19.30]
K21736	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	FADX	Delta12 acyl-lipid conjugase (11E,13E-forming) / acyl-lipid (9+3)-(E)-desaturase [EC:1.14.19.33 1.14.19.34]
K21737	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	ACET6, DES6	acyl-lipid Delta6-acetylenase / acyl-lipid (9-3)-desaturase [EC:1.14.19.38 1.14.19.47]
K21738	metabolism	lipid metabolism	fatty acid degradation [path:ko00071]	alkT	rubredoxin---NAD+ reductase [EC:1.18.1.1]
K21739	not included in pathway or brite	unclassified: metabolism	energy metabolism	rclA	probable pyridine nucleotide-disulfide oxidoreductase
K21740	not included in pathway or brite	poorly characterized	general function prediction only	rclB	reactive chlorine resistance protein B
K21741	not included in pathway or brite	poorly characterized	general function prediction only	rclC	reactive chlorine resistance protein C
K21742	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	ttdR	LysR family transcriptional regulator, transcriptional activator for ttdABT operon
K21743	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	mta	MerR family transcriptional regulator, multidrug-efflux activator
K21744	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	tipA	MerR family transcriptional regulator, thiopeptide resistance regulator
K21745	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	adhR	MerR family transcriptional regulator, aldehyde-responsive regulator
K21746	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	rclR	AraC family transcriptional regulator, reactive chlorine species (RCS)-specific activator of rcl operon
K21747	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	alkR	AraC family transcriptional regulator, alkane utilization regulator
K21748	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	alkS	LuxR family transcriptional regulator, alkane degradation pathway regulator
K21749	metabolism	carbohydrate metabolism	amino sugar and nucleotide sugar metabolism [path:ko00520]	CMAS	N-acylneuraminate/3-deoxy-D-glycero-D-galacto-nononate cytidylyltransferase [EC:2.7.7.43 2.7.7.92]
K21750	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	E2.7.7.92	3-deoxy-D-glycero-D-galacto-nononate cytidylyltransferase [EC:2.7.7.92]
K21751	brite hierarchies	protein families: genetic information processing	general protein families: genetic information processing	DR1, NC2-beta	down-regulator of transcription 1
K21752	brite hierarchies	protein families: genetic information processing	transcription machinery [br:ko03021]	DRAP1, NC2-alpha	Dr1-associated corepressor
K21753	not included in pathway or brite	unclassified: genetic information processing	transcription	PASD1	circadian clock protein PASD1
K21754	brite hierarchies	protein families: genetic information processing	ubiquitin system [br:ko04121]	KCTD1_15	BTB/POZ domain-containing protein KCTD1/15
K21755	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	bsdA	LysR family transcriptional regulator, salicylic acid-responsive activator of bsdBCD
K21756	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	catM	LysR family transcriptional regulator, cis,cis-muconate-responsive activator of cat and ben genes
K21757	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	benM	LysR family transcriptional regulator, benzoate and cis,cis-muconate-responsive activator of ben and cat genes
K21758	brite hierarchies	protein families: signaling and cellular processes	transporters [br:ko02000]	benP	benzoate transport porin
K21759	metabolism	xenobiotics biodegradation and metabolism	aminobenzoate degradation [path:ko00627]	bsdD	vanillate/4-hydroxybenzoate decarboxylase subunit D [EC:4.1.1.- 4.1.1.61]
K21760	brite hierarchies	protein families: genetic information processing	general protein families: genetic information processing	RIOX2, MINA	bifunctional lysine-specific demethylase and histidyl-hydroxylase MINA [EC:1.14.11.-]
K21761	brite hierarchies	protein families: genetic information processing	chromosome and associated proteins [br:ko03036]	SYNE3	nesprin-3
K21762	brite hierarchies	protein families: genetic information processing	chromosome and associated proteins [br:ko03036]	WDR62	WD repeat-containing protein 62
K21763	brite hierarchies	protein families: genetic information processing	chromosome and associated proteins [br:ko03036]	MAPKBP1	mitogen-activated protein kinase binding protein 1
K21764	brite hierarchies	protein families: genetic information processing	chromosome and associated proteins [br:ko03036]	SPAG5	sperm-associated antigen 5
K21765	brite hierarchies	protein families: genetic information processing	chromosome and associated proteins [br:ko03036]	MNR	protein moonraker
K21766	brite hierarchies	protein families: signaling and cellular processes	cytoskeleton proteins [br:ko04812]	TBCC	tubulin-specific chaperone C
K21767	brite hierarchies	protein families: signaling and cellular processes	cytoskeleton proteins [br:ko04812]	TBCD	tubulin-specific chaperone D
K21768	brite hierarchies	protein families: signaling and cellular processes	cytoskeleton proteins [br:ko04812]	TBCE	tubulin-specific chaperone E
K21769	multiple functions	multiple functions	multiple functions	MYBL2, B-MYB	myb-related protein B
K21770	multiple functions	multiple functions	multiple functions	CCNB2	G2/mitotic-specific cyclin-B2
K21771	multiple functions	multiple functions	multiple functions	CCNB3	G2/mitotic-specific cyclin-B3
K21772	brite hierarchies	protein families: genetic information processing	general protein families: genetic information processing	PURA	transcriptional activator protein Pur-alpha
K21773	cellular processes	cell growth and death	cellular senescence [path:ko04218]	LIN9	protein lin-9
K21774	cellular processes	cell growth and death	cellular senescence [path:ko04218]	LIN37	protein lin-37
K21775	cellular processes	cell growth and death	cellular senescence [path:ko04218]	LIN52	protein lin-52
K21776	cellular processes	cell growth and death	cellular senescence [path:ko04218]	LIN54	protein lin-54
K21777	brite hierarchies	protein families: genetic information processing	general protein families: genetic information processing	CCNB	G2/mitotic-specific cyclin-B, other
K21778	metabolism	biosynthesis of other secondary metabolites	prodigiosin biosynthesis [path:ko00333]	pigE	3-acetyloctanal aminotransferase [EC:2.6.1.-]
K21779	metabolism	biosynthesis of other secondary metabolites	prodigiosin biosynthesis [path:ko00333]	pigB	2-methyl-3-n-amyl-dihydropyrrolel dehydrogenase
K21780	metabolism	biosynthesis of other secondary metabolites	prodigiosin biosynthesis [path:ko00333]	pigI, redM	L-proline---[L-prolyl-carrier protein] ligase [EC:6.2.1.53]
K21781	metabolism	biosynthesis of other secondary metabolites	prodigiosin biosynthesis [path:ko00333]	pigG, redO	peptidyl carrier protein
K21782	metabolism	biosynthesis of other secondary metabolites	prodigiosin biosynthesis [path:ko00333]	pigA, redW	L-prolyl-PCP dehydrogenase [EC:1.3.8.14]
K21783	metabolism	biosynthesis of other secondary metabolites	prodigiosin biosynthesis [path:ko00333]	pigJ, redX	beta-ketoacyl ACP synthase [EC:2.3.1.-]
K21784	metabolism	biosynthesis of other secondary metabolites	prodigiosin biosynthesis [path:ko00333]	pigH, redN	4-hydroxy-2,2'-bipyrrole-5-methanol synthase
K21785	metabolism	biosynthesis of other secondary metabolites	prodigiosin biosynthesis [path:ko00333]	pigM, redV	4-hydroxy-2,2'-bipyrrole-5-methanol dehydrogenase
